Dup?,Merge?,Reason,Merged in Moztrap?,Case ID 1,Case ID 2,Case 1 ,Case 2,Diff,CaseVersion ID 1,CaseVersion ID 2
No,No,Different test points in the two cases,,1337,1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1337,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210242&rhs=210332,210242,210332
No,No,Different test points in the two cases,,1337,1438,https://moztrap.mozilla.org/manage/cases/?filter-id=1337,https://moztrap.mozilla.org/manage/cases/?filter-id=1438,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210242&rhs=210334,210242,210334
No,No,Different test points in the two cases,,1337,1499,https://moztrap.mozilla.org/manage/cases/?filter-id=1337,https://moztrap.mozilla.org/manage/cases/?filter-id=1499,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210242&rhs=210387,210242,210387
No,Yes,The two different functions can be performed at the same time,Yes,1344,1346,https://moztrap.mozilla.org/manage/cases/?filter-id=1344,https://moztrap.mozilla.org/manage/cases/?filter-id=1346,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210249&rhs=210251,210249,210251
No,Yes,The two different functions can be performed at the same time,Yes,1344,1497,https://moztrap.mozilla.org/manage/cases/?filter-id=1344,https://moztrap.mozilla.org/manage/cases/?filter-id=1497,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210249&rhs=210385,210249,210385
No,Yes,The two different functions can be performed at the same time,Yes,1345,1355,https://moztrap.mozilla.org/manage/cases/?filter-id=1345,https://moztrap.mozilla.org/manage/cases/?filter-id=1355,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210250&rhs=210259,210250,210259
No,No,TC 1346 has been merged with TC 1344,,1346,1355,https://moztrap.mozilla.org/manage/cases/?filter-id=1346,https://moztrap.mozilla.org/manage/cases/?filter-id=1355,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210251&rhs=210259,210251,210259
No,No,TC 1346 has been merged with TC 1344,,1346,1497,https://moztrap.mozilla.org/manage/cases/?filter-id=1346,https://moztrap.mozilla.org/manage/cases/?filter-id=1497,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210251&rhs=210385,210251,210385
No,No,TC 1346 has been merged with TC 1344,,1346,1501,https://moztrap.mozilla.org/manage/cases/?filter-id=1346,https://moztrap.mozilla.org/manage/cases/?filter-id=1501,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210251&rhs=210389,210251,210389
No,No,TC 1348 has been merged with TC 1353,,1348,1351,https://moztrap.mozilla.org/manage/cases/?filter-id=1348,https://moztrap.mozilla.org/manage/cases/?filter-id=1351,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210253&rhs=210255,210253,210255
No,Yes,The steps in TC1348 include in TC 1352,Yes,1348,1352,https://moztrap.mozilla.org/manage/cases/?filter-id=1348,https://moztrap.mozilla.org/manage/cases/?filter-id=1352,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210253&rhs=210256,210253,210256
No,No,TC 1348 has been merged with TC 1353,,1348,1353,https://moztrap.mozilla.org/manage/cases/?filter-id=1348,https://moztrap.mozilla.org/manage/cases/?filter-id=1353,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210253&rhs=210257,210253,210257
Yes,No,TC 1349 and TC 1352 are the same,,1349,1352,https://moztrap.mozilla.org/manage/cases/?filter-id=1349,https://moztrap.mozilla.org/manage/cases/?filter-id=1352,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210254&rhs=210256,210254,210256
No,No,TC 1349 has been disabled,,1349,1353,https://moztrap.mozilla.org/manage/cases/?filter-id=1349,https://moztrap.mozilla.org/manage/cases/?filter-id=1353,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210254&rhs=210257,210254,210257
No,Yes,TC 1351 include in TC 1352,Yes,1351,1352,https://moztrap.mozilla.org/manage/cases/?filter-id=1351,https://moztrap.mozilla.org/manage/cases/?filter-id=1352,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210255&rhs=210256,210255,210256
No,No,TC 1351 has been merged with TC 1352,,1351,1353,https://moztrap.mozilla.org/manage/cases/?filter-id=1351,https://moztrap.mozilla.org/manage/cases/?filter-id=1353,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210255&rhs=210257,210255,210257
No,No,TC 1355 has been merged with TC 1345,,1355,1359,https://moztrap.mozilla.org/manage/cases/?filter-id=1355,https://moztrap.mozilla.org/manage/cases/?filter-id=1359,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210259&rhs=210263,210259,210263
No,Yes,The two different functions can be performed at the same time,Yes,1358,1359,https://moztrap.mozilla.org/manage/cases/?filter-id=1358,https://moztrap.mozilla.org/manage/cases/?filter-id=1359,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210262&rhs=210263,210262,210263
No,Yes,The steps in TC1360 include in TC 1361,Yes,1360,1361,https://moztrap.mozilla.org/manage/cases/?filter-id=1360,https://moztrap.mozilla.org/manage/cases/?filter-id=1361,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210264&rhs=210265,210264,210265
No,No,TC 1360 has been merged with TC 1361,,1360,1362,https://moztrap.mozilla.org/manage/cases/?filter-id=1360,https://moztrap.mozilla.org/manage/cases/?filter-id=1362,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210264&rhs=210266,210264,210266
No,No,TC 1360 has been merged with TC 1361,,1360,1363,https://moztrap.mozilla.org/manage/cases/?filter-id=1360,https://moztrap.mozilla.org/manage/cases/?filter-id=1363,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210264&rhs=210267,210264,210267
No,No,TC 1360 has been merged with TC 1361,,1360,1366,https://moztrap.mozilla.org/manage/cases/?filter-id=1360,https://moztrap.mozilla.org/manage/cases/?filter-id=1366,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210264&rhs=210270,210264,210270
No,Yes,The two different functions can be performed at the same time,Yes,1361,1362,https://moztrap.mozilla.org/manage/cases/?filter-id=1361,https://moztrap.mozilla.org/manage/cases/?filter-id=1362,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210265&rhs=210266,210265,210266
No,Yes,The steps in TC1363 include in TC 1361,Yes,1361,1363,https://moztrap.mozilla.org/manage/cases/?filter-id=1361,https://moztrap.mozilla.org/manage/cases/?filter-id=1363,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210265&rhs=210267,210265,210267
No,Yes,The two different functions can be performed at the same time,Yes,1361,1364,https://moztrap.mozilla.org/manage/cases/?filter-id=1361,https://moztrap.mozilla.org/manage/cases/?filter-id=1364,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210265&rhs=210268,210265,210268
No,Yes,The steps in TC1365 include in TC 1361,Yes,1361,1365,https://moztrap.mozilla.org/manage/cases/?filter-id=1361,https://moztrap.mozilla.org/manage/cases/?filter-id=1365,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210265&rhs=210269,210265,210269
No,Yes,The two different functions can be performed at the same time,Yes,1361,1366,https://moztrap.mozilla.org/manage/cases/?filter-id=1361,https://moztrap.mozilla.org/manage/cases/?filter-id=1366,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210265&rhs=210270,210265,210270
No,No,TC 1362 has been merged with TC 1361,,1362,1363,https://moztrap.mozilla.org/manage/cases/?filter-id=1362,https://moztrap.mozilla.org/manage/cases/?filter-id=1363,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210266&rhs=210267,210266,210267
No,No,TC 1362 has been merged with TC 1361,,1362,1364,https://moztrap.mozilla.org/manage/cases/?filter-id=1362,https://moztrap.mozilla.org/manage/cases/?filter-id=1364,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210266&rhs=210268,210266,210268
No,No,TC 1362 has been merged with TC 1361,,1362,1366,https://moztrap.mozilla.org/manage/cases/?filter-id=1362,https://moztrap.mozilla.org/manage/cases/?filter-id=1366,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210266&rhs=210270,210266,210270
No,No,TC 1363 has been merged with TC 1361,,1363,1364,https://moztrap.mozilla.org/manage/cases/?filter-id=1363,https://moztrap.mozilla.org/manage/cases/?filter-id=1364,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210267&rhs=210268,210267,210268
No,No,TC 1363 has been merged with TC 1361,,1363,1365,https://moztrap.mozilla.org/manage/cases/?filter-id=1363,https://moztrap.mozilla.org/manage/cases/?filter-id=1365,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210267&rhs=210269,210267,210269
No,No,TC 1363 has been merged with TC 1361,,1363,1366,https://moztrap.mozilla.org/manage/cases/?filter-id=1363,https://moztrap.mozilla.org/manage/cases/?filter-id=1366,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210267&rhs=210270,210267,210270
No,No,TC 1364 has been merged with TC 1361,,1364,1365,https://moztrap.mozilla.org/manage/cases/?filter-id=1364,https://moztrap.mozilla.org/manage/cases/?filter-id=1365,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210268&rhs=210269,210268,210269
No,No,TC 1364 has been merged with TC 1361,,1364,1366,https://moztrap.mozilla.org/manage/cases/?filter-id=1364,https://moztrap.mozilla.org/manage/cases/?filter-id=1366,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210268&rhs=210270,210268,210270
No,No,TC 1365 has been merged with TC 1361,,1365,1366,https://moztrap.mozilla.org/manage/cases/?filter-id=1365,https://moztrap.mozilla.org/manage/cases/?filter-id=1366,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210269&rhs=210270,210269,210270
No,No,Two cases have been disabled,,1378,1379,https://moztrap.mozilla.org/manage/cases/?filter-id=1378,https://moztrap.mozilla.org/manage/cases/?filter-id=1379,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210279&rhs=210280,210279,210280
No,No,TC1499 has been disabled,,1382,1499,https://moztrap.mozilla.org/manage/cases/?filter-id=1382,https://moztrap.mozilla.org/manage/cases/?filter-id=1499,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210281&rhs=210387,210281,210387
No,Yes,The two different functions can be performed at the same time,Yes,1383,1384,https://moztrap.mozilla.org/manage/cases/?filter-id=1383,https://moztrap.mozilla.org/manage/cases/?filter-id=1384,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210282&rhs=210283,210282,210283
No,Yes,The two different functions can be performed at the same time,Yes,1383,1394,https://moztrap.mozilla.org/manage/cases/?filter-id=1383,https://moztrap.mozilla.org/manage/cases/?filter-id=1394,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210282&rhs=210291,210282,210291
No,No,TC1499 has been disabled,,1383,1499,https://moztrap.mozilla.org/manage/cases/?filter-id=1383,https://moztrap.mozilla.org/manage/cases/?filter-id=1499,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210282&rhs=210387,210282,210387
No,No,TC1384 has been merged with TC 1383,,1384,1391,https://moztrap.mozilla.org/manage/cases/?filter-id=1384,https://moztrap.mozilla.org/manage/cases/?filter-id=1391,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210283&rhs=210289,210283,210289
No,No,TC1384 has been merged with TC 1383,,1384,1392,https://moztrap.mozilla.org/manage/cases/?filter-id=1384,https://moztrap.mozilla.org/manage/cases/?filter-id=1392,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210283&rhs=210290,210283,210290
No,No,TC1384 has been merged with TC 1383,,1384,1394,https://moztrap.mozilla.org/manage/cases/?filter-id=1384,https://moztrap.mozilla.org/manage/cases/?filter-id=1394,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210283&rhs=210291,210283,210291
No,No,TC1384 has been merged with TC 1383,,1384,1499,https://moztrap.mozilla.org/manage/cases/?filter-id=1384,https://moztrap.mozilla.org/manage/cases/?filter-id=1499,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210283&rhs=210387,210283,210387
No,No,Two cases have been disabled,,1390,1392,https://moztrap.mozilla.org/manage/cases/?filter-id=1390,https://moztrap.mozilla.org/manage/cases/?filter-id=1392,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210288&rhs=210290,210288,210290
No,No,TC 1394 has been merged with TC 1383,,1391,1394,https://moztrap.mozilla.org/manage/cases/?filter-id=1391,https://moztrap.mozilla.org/manage/cases/?filter-id=1394,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210289&rhs=210291,210289,210291
No,No,TC 1499 has been disabled,,1391,1499,https://moztrap.mozilla.org/manage/cases/?filter-id=1391,https://moztrap.mozilla.org/manage/cases/?filter-id=1499,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210289&rhs=210387,210289,210387
No,No,Two cases have been disabled,,1392,1394,https://moztrap.mozilla.org/manage/cases/?filter-id=1392,https://moztrap.mozilla.org/manage/cases/?filter-id=1394,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210290&rhs=210291,210290,210291
No,No,Two cases have been disabled,,1392,1499,https://moztrap.mozilla.org/manage/cases/?filter-id=1392,https://moztrap.mozilla.org/manage/cases/?filter-id=1499,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210290&rhs=210387,210290,210387
No,No,TC 1394 has been disabled,,1394,1395,https://moztrap.mozilla.org/manage/cases/?filter-id=1394,https://moztrap.mozilla.org/manage/cases/?filter-id=1395,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210291&rhs=210292,210291,210292
No,No,TC 1394 has been disabled,,1394,1499,https://moztrap.mozilla.org/manage/cases/?filter-id=1394,https://moztrap.mozilla.org/manage/cases/?filter-id=1499,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210291&rhs=210387,210291,210387
No,No,TC 1394 has been disabled,,1394,2128,https://moztrap.mozilla.org/manage/cases/?filter-id=1394,https://moztrap.mozilla.org/manage/cases/?filter-id=2128,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210291&rhs=210884,210291,210884
No,Yes,"The two cases almost the same, merge TC 1397 in TC 1396",Yes,1396,1397,https://moztrap.mozilla.org/manage/cases/?filter-id=1396,https://moztrap.mozilla.org/manage/cases/?filter-id=1397,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210293&rhs=210294,210293,210294
No,No,The function in TC 1401 does not exist on latest version and disable the v2.5&v2.6 version,,1398,1401,https://moztrap.mozilla.org/manage/cases/?filter-id=1398,https://moztrap.mozilla.org/manage/cases/?filter-id=1401,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210295&rhs=210298,210295,210298
No,Yes,The two different functions can be performed at the same time,Yes,1405,1406,https://moztrap.mozilla.org/manage/cases/?filter-id=1405,https://moztrap.mozilla.org/manage/cases/?filter-id=1406,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210302&rhs=210303,210302,210303
No,No,Different test points in the two cases,,1405,1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1405,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210302&rhs=210332,210302,210332
No,Yes,The two different functions can be performed at the same time,Yes,1405,2091,https://moztrap.mozilla.org/manage/cases/?filter-id=1405,https://moztrap.mozilla.org/manage/cases/?filter-id=2091,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210302&rhs=210848,210302,210848
No,No,Different test points in the two cases,,1412,1438,https://moztrap.mozilla.org/manage/cases/?filter-id=1412,https://moztrap.mozilla.org/manage/cases/?filter-id=1438,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210308&rhs=210334,210308,210334
No,No,Different test points in the two cases,,1412,1499,https://moztrap.mozilla.org/manage/cases/?filter-id=1412,https://moztrap.mozilla.org/manage/cases/?filter-id=1499,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210308&rhs=210387,210308,210387
No,No,Different test points in the two cases,,1412,1501,https://moztrap.mozilla.org/manage/cases/?filter-id=1412,https://moztrap.mozilla.org/manage/cases/?filter-id=1501,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210308&rhs=210389,210308,210389
No,No,Different test points in the two cases,,1414,1426,https://moztrap.mozilla.org/manage/cases/?filter-id=1414,https://moztrap.mozilla.org/manage/cases/?filter-id=1426,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210310&rhs=210322,210310,210322
No,Yes,The two different functions can be performed at the same time,Yes,1416,1417,https://moztrap.mozilla.org/manage/cases/?filter-id=1416,https://moztrap.mozilla.org/manage/cases/?filter-id=1417,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210312&rhs=210313,210312,210313
No,Yes,The two different functions can be performed at the same time,Yes,1418,1420,https://moztrap.mozilla.org/manage/cases/?filter-id=1418,https://moztrap.mozilla.org/manage/cases/?filter-id=1420,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210314&rhs=210316,210314,210316
No,No,Different test points in the two cases,,1426,1435,https://moztrap.mozilla.org/manage/cases/?filter-id=1426,https://moztrap.mozilla.org/manage/cases/?filter-id=1435,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210322&rhs=210331,210322,210331
No,No,Different test points in the two cases,,1426,1497,https://moztrap.mozilla.org/manage/cases/?filter-id=1426,https://moztrap.mozilla.org/manage/cases/?filter-id=1497,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210322&rhs=210385,210322,210385
No,No,Different test points in the two cases,,1426,1498,https://moztrap.mozilla.org/manage/cases/?filter-id=1426,https://moztrap.mozilla.org/manage/cases/?filter-id=1498,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210322&rhs=210386,210322,210386
No,No,Different test points in the two cases,,1426,1500,https://moztrap.mozilla.org/manage/cases/?filter-id=1426,https://moztrap.mozilla.org/manage/cases/?filter-id=1500,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210322&rhs=210388,210322,210388
No,No,Different test points in the two cases,,1426,1501,https://moztrap.mozilla.org/manage/cases/?filter-id=1426,https://moztrap.mozilla.org/manage/cases/?filter-id=1501,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210322&rhs=210389,210322,210389
No,No,Different test points in the two cases,,1435,1438,https://moztrap.mozilla.org/manage/cases/?filter-id=1435,https://moztrap.mozilla.org/manage/cases/?filter-id=1438,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210331&rhs=210334,210331,210334
No,Yes,The two different functions can be performed at the same time,Yes,1435,1462,https://moztrap.mozilla.org/manage/cases/?filter-id=1435,https://moztrap.mozilla.org/manage/cases/?filter-id=1462,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210331&rhs=210358,210331,210358
No,No,TC 1435 has been merged with TC 1462,,1435,1467,https://moztrap.mozilla.org/manage/cases/?filter-id=1435,https://moztrap.mozilla.org/manage/cases/?filter-id=1467,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210331&rhs=210363,210331,210363
No,No,TC 1435 has been merged with TC 1462,,1435,1468,https://moztrap.mozilla.org/manage/cases/?filter-id=1435,https://moztrap.mozilla.org/manage/cases/?filter-id=1468,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210331&rhs=210364,210331,210364
No,No,TC 1435 has been merged with TC 1462,,1435,1470,https://moztrap.mozilla.org/manage/cases/?filter-id=1435,https://moztrap.mozilla.org/manage/cases/?filter-id=1470,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210331&rhs=210366,210331,210366
No,No,TC 1435 has been merged with TC 1462,,1435,1471,https://moztrap.mozilla.org/manage/cases/?filter-id=1435,https://moztrap.mozilla.org/manage/cases/?filter-id=1471,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210331&rhs=210367,210331,210367
No,No,TC 1435 has been merged with TC 1462,,1435,1472,https://moztrap.mozilla.org/manage/cases/?filter-id=1435,https://moztrap.mozilla.org/manage/cases/?filter-id=1472,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210331&rhs=210368,210331,210368
No,No,Different test points in the two cases,,1436,1437,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1437,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210332&rhs=210333,210332,210333
No,Yes,The two different functions can be performed at the same time,Yes,1436,1462,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1462,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210332&rhs=210358,210332,210358
No,No,TC 1436 has been merged with TC 1462,,1436,1468,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1468,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210332&rhs=210364,210332,210364
No,No,TC 1436 has been merged with TC 1462,,1436,1470,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1470,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210332&rhs=210366,210332,210366
No,No,TC 1436 has been merged with TC 1462,,1436,1497,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1497,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210332&rhs=210385,210332,210385
No,No,TC 1436 has been merged with TC 1462,,1436,1498,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1498,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210332&rhs=210386,210332,210386
No,No,TC 1436 has been merged with TC 1462,,1436,1500,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1500,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210332&rhs=210388,210332,210388
No,No,TC 1436 has been merged with TC 1462,,1436,1501,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1501,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210332&rhs=210389,210332,210389
No,No,TC 1436 has been merged with TC 1462,,1436,2019,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,https://moztrap.mozilla.org/manage/cases/?filter-id=2019,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210332&rhs=210787,210332,210787
No,Yes,The two different functions can be performed at the same time,Yes,1437,1438,https://moztrap.mozilla.org/manage/cases/?filter-id=1437,https://moztrap.mozilla.org/manage/cases/?filter-id=1438,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210333&rhs=210334,210333,210334
